Epoch,Loss,Learning_Rate,L1_Scale,L2_Scale,Gauge_Factor,Chaos_Shield
1,67379466414197951168512.0000,0.009901,1.0050,0.0000,0.999999999999226,DETERMINISTIC_STABLE_ZONE
2,67379466414197951168512.0000,0.009804,1.0100,0.0000,0.999999999999020,DETERMINISTIC_STABLE_ZONE
3,67379466414197951168512.0000,0.009709,1.0150,0.0000,0.999999999999532,DETERMINISTIC_STABLE_ZONE
4,67379466414197951168512.0000,0.009615,1.0200,0.0001,1.000000000000388,DETERMINISTIC_STABLE_ZONE
5,67379466414197951168512.0000,0.009524,1.0250,0.0001,1.000000000000959,DETERMINISTIC_STABLE_ZONE
6,67379466414197951168512.0000,0.009434,1.0300,0.0002,1.000000000000826,DETERMINISTIC_STABLE_ZONE
7,67379466414197951168512.0000,0.009346,1.0350,0.0002,1.000000000000088,DETERMINISTIC_STABLE_ZONE
8,67379466414197951168512.0000,0.009259,1.0400,0.0003,0.999999999999285,DETERMINISTIC_STABLE_ZONE
9,67379466414197951168512.0000,0.009174,1.0450,0.0004,0.999999999999006,DETERMINISTIC_STABLE_ZONE
10,67379466414197951168512.0000,0.009091,1.0500,0.0004,0.999999999999457,DETERMINISTIC_STABLE_ZONE
11,67379466414197951168512.0000,0.009009,1.0550,0.0005,1.000000000000306,DETERMINISTIC_STABLE_ZONE
12,67379466414197951168512.0000,0.008929,1.0600,0.0006,1.000000000000931,DETERMINISTIC_STABLE_ZONE
13,67379466414197951168512.0000,0.008850,1.0650,0.0008,1.000000000000873,DETERMINISTIC_STABLE_ZONE
14,67379466414197951168512.0000,0.008772,1.0699,0.0009,1.000000000000175,DETERMINISTIC_STABLE_ZONE
15,67379466414197951168512.0000,0.008696,1.0749,0.0010,0.999999999999349,DETERMINISTIC_STABLE_ZONE
16,67379466414197951168512.0000,0.008621,1.0799,0.0012,0.999999999999000,DETERMINISTIC_STABLE_ZONE
17,67379466414197951168512.0000,0.008547,1.0849,0.0013,0.999999999999385,DETERMINISTIC_STABLE_ZONE
18,67379466414197951168512.0000,0.008475,1.0899,0.0015,1.000000000000221,DETERMINISTIC_STABLE_ZONE
19,67379466414197951168512.0000,0.008403,1.0949,0.0016,1.000000000000895,DETERMINISTIC_STABLE_ZONE
20,67379466414197951168512.0000,0.008333,1.0998,0.0018,1.000000000000912,DETERMINISTIC_STABLE_ZONE
21,67379466414197951168512.0000,0.008264,1.1048,0.0020,1.000000000000260,DETERMINISTIC_STABLE_ZONE
22,67379466414197951168512.0000,0.008197,1.1098,0.0022,0.999999999999418,DETERMINISTIC_STABLE_ZONE
23,67379466414197951168512.0000,0.008130,1.1147,0.0024,0.999999999999002,DETERMINISTIC_STABLE_ZONE
24,67379466414197951168512.0000,0.008065,1.1197,0.0026,0.999999999999319,DETERMINISTIC_STABLE_ZONE
25,67379466414197951168512.0000,0.008000,1.1247,0.0028,1.000000000000135,DETERMINISTIC_STABLE_ZONE
26,67379466414197951168512.0000,0.007937,1.1296,0.0030,1.000000000000852,DETERMINISTIC_STABLE_ZONE
27,67379466414197951168512.0000,0.007874,1.1346,0.0033,1.000000000000945,DETERMINISTIC_STABLE_ZONE
28,67379466414197951168512.0000,0.007812,1.1395,0.0035,1.000000000000344,DETERMINISTIC_STABLE_ZONE
29,67379466414197951168512.0000,0.007752,1.1445,0.0038,0.999999999999491,DETERMINISTIC_STABLE_ZONE
30,67379466414197951168512.0000,0.007692,1.1494,0.0040,0.999999999999011,DETERMINISTIC_STABLE_ZONE
31,67379466414197951168512.0000,0.007634,1.1544,0.0043,0.999999999999257,DETERMINISTIC_STABLE_ZONE
32,67379466414197951168512.0000,0.007576,1.1593,0.0046,1.000000000000048,DETERMINISTIC_STABLE_ZONE
33,67379466414197951168512.0000,0.007519,1.1643,0.0049,1.000000000000803,DETERMINISTIC_STABLE_ZONE
34,67379466414197951168512.0000,0.007463,1.1692,0.0052,1.000000000000970,DETERMINISTIC_STABLE_ZONE
35,67379466414197951168512.0000,0.007407,1.1741,0.0055,1.000000000000425,DETERMINISTIC_STABLE_ZONE
36,67379466414197951168512.0000,0.007353,1.1790,0.0058,0.999999999999568,DETERMINISTIC_STABLE_ZONE
37,67379466414197951168512.0000,0.007299,1.1839,0.0062,0.999999999999029,DETERMINISTIC_STABLE_ZONE
38,67379466414197951168512.0000,0.007246,1.1889,0.0065,0.999999999999201,DETERMINISTIC_STABLE_ZONE
39,67379466414197951168512.0000,0.007194,1.1938,0.0068,0.999999999999960,DETERMINISTIC_STABLE_ZONE
40,67379466414197951168512.0000,0.007143,1.1987,0.0072,1.000000000000748,DETERMINISTIC_STABLE_ZONE
41,67379466414197951168512.0000,0.007092,1.2036,0.0076,1.000000000000987,DETERMINISTIC_STABLE_ZONE
42,67379466414197951168512.0000,0.007042,1.2085,0.0079,1.000000000000503,DETERMINISTIC_STABLE_ZONE
43,67379466414197951168512.0000,0.006993,1.2133,0.0083,0.999999999999649,DETERMINISTIC_STABLE_ZONE
44,67379466414197951168512.0000,0.006944,1.2182,0.0087,0.999999999999053,DETERMINISTIC_STABLE_ZONE
45,67379466414197951168512.0000,0.006897,1.2231,0.0091,0.999999999999152,DETERMINISTIC_STABLE_ZONE
46,67379466414197951168512.0000,0.006849,1.2280,0.0095,0.999999999999872,DETERMINISTIC_STABLE_ZONE
47,67379466414197951168512.0000,0.006803,1.2328,0.0099,1.000000000000687,DETERMINISTIC_STABLE_ZONE
48,67379466414197951168512.0000,0.006757,1.2377,0.0104,1.000000000000997,DETERMINISTIC_STABLE_ZONE
49,67379466414197951168512.0000,0.006711,1.2426,0.0108,1.000000000000576,DETERMINISTIC_STABLE_ZONE
50,67379466414197951168512.0000,0.006667,1.2474,0.0112,0.999999999999733,DETERMINISTIC_STABLE_ZONE
51,67379466414197951168512.0000,0.006623,1.2522,0.0117,0.999999999999085,DETERMINISTIC_STABLE_ZONE
52,67379466414197951168512.0000,0.006579,1.2571,0.0121,0.999999999999108,DETERMINISTIC_STABLE_ZONE
53,67379466414197951168512.0000,0.006536,1.2619,0.0126,0.999999999999786,DETERMINISTIC_STABLE_ZONE
54,67379466414197951168512.0000,0.006494,1.2667,0.0131,1.000000000000620,DETERMINISTIC_STABLE_ZONE
55,67379466414197951168512.0000,0.006452,1.2715,0.0136,1.000000000001000,DETERMINISTIC_STABLE_ZONE
56,67379466414197951168512.0000,0.006410,1.2764,0.0141,1.000000000000646,DETERMINISTIC_STABLE_ZONE
57,67379466414197951168512.0000,0.006369,1.2812,0.0146,0.999999999999818,DETERMINISTIC_STABLE_ZONE
58,67379466414197951168512.0000,0.006329,1.2860,0.0151,0.999999999999124,DETERMINISTIC_STABLE_ZONE
59,67379466414197951168512.0000,0.006289,1.2907,0.0156,0.999999999999072,DETERMINISTIC_STABLE_ZONE
60,67379466414197951168512.0000,0.006250,1.2955,0.0162,0.999999999999701,DETERMINISTIC_STABLE_ZONE
61,67379466414197951168512.0000,0.006211,1.3003,0.0167,1.000000000000549,DETERMINISTIC_STABLE_ZONE
62,67379466414197951168512.0000,0.006173,1.3051,0.0172,1.000000000000995,DETERMINISTIC_STABLE_ZONE
63,67379466414197951168512.0000,0.006135,1.3098,0.0178,1.000000000000710,DETERMINISTIC_STABLE_ZONE
64,67379466414197951168512.0000,0.006098,1.3146,0.0184,0.999999999999905,DETERMINISTIC_STABLE_ZONE
65,67379466414197951168512.0000,0.006061,1.3193,0.0190,0.999999999999169,DETERMINISTIC_STABLE_ZONE
66,67379466414197951168512.0000,0.006024,1.3240,0.0195,0.999999999999043,DETERMINISTIC_STABLE_ZONE
67,67379466414197951168512.0000,0.005988,1.3288,0.0201,0.999999999999619,DETERMINISTIC_STABLE_ZONE
68,67379466414197951168512.0000,0.005952,1.3335,0.0207,1.000000000000474,DETERMINISTIC_STABLE_ZONE
69,67379466414197951168512.0000,0.005917,1.3382,0.0213,1.000000000000982,DETERMINISTIC_STABLE_ZONE
70,67379466414197951168512.0000,0.005882,1.3429,0.0220,1.000000000000769,DETERMINISTIC_STABLE_ZONE
71,67379466414197951168512.0000,0.005848,1.3476,0.0226,0.999999999999993,DETERMINISTIC_STABLE_ZONE
72,67379466414197951168512.0000,0.005814,1.3523,0.0232,0.999999999999222,DETERMINISTIC_STABLE_ZONE
73,67379466414197951168512.0000,0.005780,1.3569,0.0239,0.999999999999021,DETERMINISTIC_STABLE_ZONE
74,67379466414197951168512.0000,0.005747,1.3616,0.0245,0.999999999999539,DETERMINISTIC_STABLE_ZONE
75,67379466414197951168512.0000,0.005714,1.3663,0.0252,1.000000000000395,DETERMINISTIC_STABLE_ZONE
76,67379466414197951168512.0000,0.005682,1.3709,0.0259,1.000000000000961,DETERMINISTIC_STABLE_ZONE
77,67379466414197951168512.0000,0.005650,1.3756,0.0266,1.000000000000822,DETERMINISTIC_STABLE_ZONE
78,67379466414197951168512.0000,0.005618,1.3802,0.0273,1.000000000000080,DETERMINISTIC_STABLE_ZONE
79,67379466414197951168512.0000,0.005587,1.3848,0.0280,0.999999999999279,DETERMINISTIC_STABLE_ZONE
80,67379466414197951168512.0000,0.005556,1.3894,0.0287,0.999999999999007,DETERMINISTIC_STABLE_ZONE
81,67379466414197951168512.0000,0.005525,1.3940,0.0294,0.999999999999463,DETERMINISTIC_STABLE_ZONE
82,67379466414197951168512.0000,0.005495,1.3986,0.0301,1.000000000000313,DETERMINISTIC_STABLE_ZONE
83,67379466414197951168512.0000,0.005464,1.4032,0.0308,1.000000000000933,DETERMINISTIC_STABLE_ZONE
84,67379466414197951168512.0000,0.005435,1.4078,0.0316,1.000000000000869,DETERMINISTIC_STABLE_ZONE
85,67379466414197951168512.0000,0.005405,1.4123,0.0323,1.000000000000167,DETERMINISTIC_STABLE_ZONE
86,67379466414197951168512.0000,0.005376,1.4169,0.0331,0.999999999999343,DETERMINISTIC_STABLE_ZONE
87,67379466414197951168512.0000,0.005348,1.4214,0.0339,0.999999999999000,DETERMINISTIC_STABLE_ZONE
88,67379466414197951168512.0000,0.005319,1.4259,0.0346,0.999999999999391,DETERMINISTIC_STABLE_ZONE
89,67379466414197951168512.0000,0.005291,1.4305,0.0354,1.000000000000228,DETERMINISTIC_STABLE_ZONE
90,67379466414197951168512.0000,0.005263,1.4350,0.0362,1.000000000000898,DETERMINISTIC_STABLE_ZONE
91,67379466414197951168512.0000,0.005236,1.4395,0.0370,1.000000000000909,DETERMINISTIC_STABLE_ZONE
92,67379466414197951168512.0000,0.005208,1.4439,0.0378,1.000000000000253,DETERMINISTIC_STABLE_ZONE
93,67379466414197951168512.0000,0.005181,1.4484,0.0387,0.999999999999412,DETERMINISTIC_STABLE_ZONE
94,67379466414197951168512.0000,0.005155,1.4529,0.0395,0.999999999999002,DETERMINISTIC_STABLE_ZONE
95,67379466414197951168512.0000,0.005128,1.4573,0.0403,0.999999999999324,DETERMINISTIC_STABLE_ZONE
96,67379466414197951168512.0000,0.005102,1.4618,0.0412,1.000000000000142,DETERMINISTIC_STABLE_ZONE
97,67379466414197951168512.0000,0.005076,1.4662,0.0420,1.000000000000856,DETERMINISTIC_STABLE_ZONE
98,67379466414197951168512.0000,0.005051,1.4706,0.0429,1.000000000000942,DETERMINISTIC_STABLE_ZONE
99,67379466414197951168512.0000,0.005025,1.4750,0.0438,1.000000000000337,DETERMINISTIC_STABLE_ZONE
100,67379466414197951168512.0000,0.005000,1.4794,0.0447,0.999999999999485,DETERMINISTIC_STABLE_ZONE
